Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
no,MUSIGULA,8,female,29,dissatisfied
no,LUBIRI,1,female,25,satisfied
no,LUBIRI,1,female,18,dissatisfied
yes,KIRONDE,20,male,65,satisfied
no,LUBIRI,8,male,35,dissatisfied
no,LUBIRI,5,male,24,dissatisfied
no,KIRONDE,1,female,20,dissatisfied
no,KIRONDE,5,female,25,very_dissatisf
no,KIRONDE,5,male,40,satisfied
yes,CHURCH,2,female,20,neither_satisf
yes,CHURCH,7,female,19,satisfied
yes,CHURCH,1,male,25,neither_satisf
yes,CCE,1,female,25,satisfied
yes,CCE,2,female,23,satisfied
yes,CCE,1,female,20,satisfied
yes,CCE,3,female,21,satisfied
no,MAKONZI,2,male,18,very_satisfied
yes,MAKERERE KIVULU I,15,female,28,satisfied
yes,MAKERERE KIVULU I,2,male,21,satisfied
yes,CCE,3,female,21,very_satisfied
yes,MAKERERE KIVULU I,7,female,25,dissatisfied
no,MAKONZI,2,female,20,very_dissatisf
yes,CCE,3,female,21,satisfied
no,MAKONZI,20,male,38,very_dissatisf
yes,MAKERERE KIVULU I,1,male,24,dissatisfied
yes,MAKERERE KIVULU I,18,male,18,very_dissatisf
no,WAMPAMBA,1,female,26,very_dissatisf
yes,SSEBULIBA,6,male,29,neither_satisf
yes,CCE,1,female,18,neither_satisf
yes,MAKERERE KIVULU I,10,male,40,very_dissatisf
yes,CCE,1,female,19,neither_satisf
yes,SSEBULIBA,8,male,45,dissatisfied
yes,MAKERERE KIVULU I,30,male,61,satisfied
no,MAKONZI,8,male,24,dissatisfied
no,WAMPAMBA,15,male,55,dissatisfied
yes,MAKERERE KIVULU I,30,female,38,dissatisfied
yes,SSEBULIBA,5,male,36,neither_satisf
no,WAMPAMBA,18,female,32,satisfied
no,MAKONZI,3,female,18,satisfied
no,MAKONZI,1,female,19,very_dissatisf
no,MAKONZI,2,female,41,satisfied
yes,MAKERERE KIVULU I,3,female,23,satisfied
no,MAKONZI,3,female,25,very_dissatisf
no,WAMPAMBA,9,female,27,very_dissatisf
yes,SSEBULIBA,20,female,20,very_dissatisf
no,WAMPAMBA,30,male,30,very_dissatisf
no,WAMPAMBA,26,female,26,very_dissatisf
yes,MAKERERE KIVULU I,3,male,18,very_dissatisf
no,WAMPAMBA,3,female,18,very_dissatisf
yes,SSEBULIBA,27,female,27,very_dissatisf
yes,Village A,1,male,33,very_satisfied
yes,MAKERERE KIVULU I,2,male,19,dissatisfied
no,MAKONZI,3,female,29,satisfied
yes,SSEBULIBA,12,female,27,very_dissatisf
no,MAKONZI,1,male,22,dissatisfied
no,MAKONZI,5,male,27,satisfied
no,MAKONZI,20,male,25,neither_satisf
yes,MAKERERE KIVULU I,21,female,21,neither_satisf
yes,Village A,8,male,35,dissatisfied
yes,SSEBULIBA,1,female,38,satisfied
yes,Village A,6,male,38,dissatisfied
no,MAKONZI,15,male,35,dissatisfied
no,WAMPAMBA,1,female,33,very_dissatisf
yes,Village A,6,male,38,very_dissatisf
